wavelength,uncertainty_wavelength,Dmin,uncertainty_Dmin
4.08E-07,0.000000035,0.688183324,0.039555334
4.73E-07,2.25E-08,0.684459955,0.023217857
5.33E-07,3.75E-08,0.680649319,0.015533548
0.000000575,0.00000001,0.67273716,0.016605287
0.000000685,0.000000065,0.669391946,0.018504114
