Wavelength,Uncertainty_Wavelength,sin(phi),Uncertainty_sin(phi)
4.725E-07,2.25E-08,0.308870696,0.002185923
5.325E-07,3.75E-08,0.349801217,0.001883346
0.000000575,0.00000001,0.377549352,0.003335772
6.025E-07,0.000000015,0.398822052,0.002989409
0.000000685,0.000000065,0.418398872,0.002914753
